USER ID,nectar prague,joshua sleep,gallery fiesta,jerome jazz,motif polo,zigzag germany,susan sonar,alamo group,gilbert chicken,history private,pretty pencil,denver giraffe,olympic cosmos,client shake,domino husband,context eric,hamlet orchid,griffin octopus,dallas level,carbon carpet,status tina,nuclear hello,deposit hobby,finland jordan,cubic society,compact album,bank torch,judo taboo,sector matrix,calibre front,gentle visible,soda delta,anvil maestro,digital wisdom,wave baron,peru million,nato kiwi,horse spell,agenda viking,monster erosion,halt comet,clever noise,richard forest,evening cantina,delphi armani,dynamic bonjour,smoke galaxy,local humor,june galileo,academy pepper,dialog inside,sound ibiza,border diet,dragon remark,stock reflex,famous genesis,size africa,ribbon deal,sabrina oregano,admiral price,toronto slang,numeric plasma,quiz mailbox,side kimono,visual fire,climax watch,outside albert,vacuum tourist,axis weekend,snow connect,tribune temple,window pearl,double drink,cliff sherman,nobel road,limbo profile,pretend patriot,helium eternal,jamaica lecture,linda village,wheel berlin,cake visa,algebra small,winter modular,hunter edgar,enjoy reptile,method lotus,spend beatles,billy parlor,ricardo prepare,pandora oval,cabinet state,cecilia raja,memo darwin,enigma recycle,olivia image,world blonde,begin unit,rodeo santana,drum spring
100953,1.484013,0.257857,0.239617,1.133965,0.599283,2.001566,2.007976,1.129472,4.337007,3.388465,1.526366,1.311340,2.493194,0.208434,3.315467,2.768127,2.694975,0.654837,1.577781,2.732803,0.304506,1.618719,3.703994,4.213162,1.313143,0.517884,3.362804,1.244530,0.157102,0.085996,0.940926,0.870346,0.903953,0.063427,0.062227,1.696479,0.032745,2.853422,0.579462,1.714687,0.988655,2.050732,0.589541,0.831692,1.277761,1.398209,0.789170,0.213676,2.299265,3.387322,0.395922,1.734664,1.091774,4.294852,0.409077,3.650113,0.186755,1.207088,1.150653,1.026478,1.514470,0.305931,3.270710,3.301019,0.529381,1.235161,1.323886,2.530588,2.800599,0.783381,3.523056,1.599238,1.152251,1.566989,1.658092,2.027099,0.559747,0.801287,0.471047,1.011845,0.546256,1.641174,1.344110,2.132791,1.648498,2.213006,0.194676,2.582668,0.564968,0.434938,0.489561,0.059119,2.177327,0.063949,1.579579,1.977560,0.009971,0.869408,0.676175,0.977309
100955,1.350588,0.397670,0.308198,0.660640,0.900114,1.482669,2.052944,1.052420,3.597033,2.799935,0.999628,2.137856,2.922409,0.068217,3.277871,2.468773,2.328560,1.227017,1.526377,2.867737,0.049857,1.856197,2.833994,3.720484,1.102503,0.019063,3.364656,1.121478,0.703650,0.537019,0.345216,1.143326,0.755150,0.373422,0.561789,2.237334,0.251982,3.078796,0.510286,1.302060,1.120107,2.107863,0.288380,1.642616,1.177755,0.998325,1.203497,0.259707,2.126252,3.651647,0.170794,0.704371,1.404713,4.607447,0.358707,3.071637,0.075390,1.147939,1.359860,0.980746,1.434819,0.613416,3.126420,3.091399,0.477928,1.135763,1.012105,2.521077,3.248904,1.913875,3.686779,1.661663,1.441892,1.493466,1.442635,1.945945,1.015989,0.845976,0.717059,0.409032,0.429895,1.214380,1.781895,1.559187,1.187497,2.427021,0.183068,2.642882,0.535491,0.226633,0.098677,0.201854,1.980738,0.078014,1.692670,2.330878,0.333127,0.942450,0.837264,1.031710
100965,2.576723,1.098803,1.764609,0.157183,0.826298,0.094709,4.495690,0.733354,1.453999,0.809408,2.283397,0.378777,2.097040,0.580791,0.127113,0.350276,1.386913,1.751563,1.788233,2.415340,1.617451,3.578918,0.506853,3.692335,0.155102,0.359150,2.269555,0.019375,2.375947,3.038031,0.856642,2.395902,0.770962,0.451915,0.671620,0.878139,4.116832,1.062800,0.156542,4.622369,0.074351,1.729964,3.312026,1.129887,2.716757,0.173558,0.084203,2.563270,1.516981,0.300566,3.277856,0.598805,0.081227,0.182366,1.672670,0.825346,0.669715,0.388279,1.741972,0.998716,0.436796,0.580323,0.561670,0.630905,1.677211,1.157119,3.159567,2.398004,0.601911,0.378470,2.352451,2.835942,0.550653,2.787319,1.417539,1.639349,1.336281,0.345784,2.028776,1.094912,0.791411,0.700842,2.973110,0.094064,0.206088,1.625639,0.694593,2.469379,0.987297,0.977538,2.000441,0.541809,0.045513,2.939113,0.349863,2.440363,2.199525,1.035054,1.466515,0.173144
100968,2.307185,0.236830,0.318632,0.594718,0.940251,1.296865,2.451781,1.386342,3.503421,3.563688,2.151508,1.503485,2.181343,0.003291,3.198068,2.939907,2.975365,0.390393,0.831470,2.951645,1.024012,2.276617,2.345835,3.653988,1.678502,0.415123,3.578013,1.409363,0.669184,0.074831,1.163801,0.697977,0.257991,0.133405,0.232435,1.823338,0.247168,2.562616,0.185151,1.301680,0.958856,2.029573,0.369160,1.293755,1.112732,2.007424,1.194214,0.730444,2.258500,3.611978,0.308423,0.835404,0.831436,4.000959,0.123420,2.071539,0.058981,1.544719,1.123276,0.967733,1.457783,0.652083,3.015962,3.011093,1.001830,1.308363,0.707028,2.572171,2.953733,0.939560,4.432429,0.694682,1.654717,2.130846,1.123934,1.578046,0.638726,0.600297,0.620704,0.448566,0.364280,1.835373,0.757981,2.126729,1.657577,2.183597,0.864581,2.675622,0.745520,0.574395,0.037346,0.004922,1.729340,0.302608,1.960916,2.513448,0.776575,0.367702,0.869511,1.108934
100976,0.526058,2.419744,0.548373,0.109904,1.261197,5.836276,0.204255,2.655214,0.056144,0.617814,0.688179,2.166284,0.020633,1.800202,2.551390,1.638673,0.077148,1.156555,0.953668,0.475186,2.672743,1.765798,1.365740,0.018808,3.406255,1.915483,1.785046,1.469446,3.272352,3.983518,0.911037,0.813602,0.753957,0.897243,1.169282,1.584465,2.583970,1.617577,1.250996,0.681218,0.272300,1.823156,0.977760,3.308285,4.995714,0.018618,3.801436,1.785968,1.179434,2.447221,0.105563,2.082737,0.095719,1.757567,1.154126,4.051567,2.216201,1.013109,1.288476,1.564327,0.199694,0.325880,5.871640,0.286917,2.262306,1.979864,0.080236,1.206602,1.722787,1.424851,1.091529,0.724524,1.857258,1.790046,2.141059,0.130159,3.115785,0.281752,1.511861,1.242028,1.239654,0.614260,1.361161,4.373892,1.519633,0.484305,0.006835,1.954847,3.632130,0.030466,0.553128,1.847459,1.882823,2.214928,1.869845,2.168439,1.388244,0.081731,0.402835,0.708239
100986,1.022697,0.337878,0.364419,1.780540,0.376503,1.884796,1.288596,0.196878,3.746318,1.869156,1.176741,2.012796,2.442506,0.364888,2.959435,2.818460,1.359220,1.658831,2.502541,3.143708,0.212439,2.465313,2.433021,3.212232,0.275073,0.158632,3.755678,0.241054,0.672600,0.232589,0.612233,1.784102,0.558729,1.294669,0.183867,2.188812,0.417794,1.979241,0.239118,1.560058,1.109176,2.669411,0.627029,1.600921,0.140138,1.826154,1.872772,0.576875,2.412681,2.368887,0.793979,0.636032,1.260128,5.115074,0.511057,3.517794,0.430686,1.280385,2.162763,1.638812,0.390027,1.120916,3.418350,2.759440,1.212340,1.596516,1.012842,2.165321,2.940739,0.914236,4.323476,0.509155,1.377218,2.058557,2.248158,1.975451,0.537547,1.616903,0.348279,0.670907,0.507495,1.012037,2.409978,1.896091,0.769727,3.382257,0.615822,2.983717,0.764905,0.483325,1.259359,0.370162,2.458102,0.373636,1.344079,2.029092,0.149894,0.910913,0.755582,0.708137
100993,2.856677,1.122945,1.867636,0.167453,0.654047,0.720790,4.230481,0.835277,1.178175,0.628766,2.949300,0.767441,1.740234,0.476236,0.133895,0.488655,1.376801,1.577864,1.887265,2.443366,2.339691,3.085177,0.159815,3.456360,0.386094,0.601156,2.829695,0.001757,1.950976,2.950210,0.025186,2.053819,0.747610,0.255867,0.197435,1.268374,4.079561,0.388428,0.394870,5.167461,0.593487,1.694138,2.925165,1.094469,2.425209,0.351897,0.157105,1.911283,1.863240,0.164891,3.437526,0.352007,0.160062,0.560399,1.968530,0.393158,0.715277,0.515377,2.230290,1.541328,0.015181,0.397852,0.332820,0.393015,1.267307,1.303328,2.919599,2.498818,0.035610,0.224848,1.877735,2.339569,1.197909,3.563296,1.363321,2.110600,2.511694,1.109116,1.844095,1.176310,0.068974,0.622952,2.352400,0.253423,0.209032,2.008818,1.417665,2.031580,0.859293,0.608521,2.577786,0.440721,0.438382,3.189517,1.113184,1.776648,1.978874,0.744761,1.254180,0.424063
101001,1.483582,4.217846,1.229463,2.256226,2.768330,4.851527,0.412439,0.352141,1.830136,2.560953,2.538082,0.796095,1.134042,0.548988,2.500525,1.729010,0.936276,0.188612,2.213845,1.933321,0.048944,1.778879,0.439432,0.629706,1.083866,3.073169,0.767391,1.791041,0.949502,3.400590,0.408691,0.724551,0.826034,0.712448,1.375418,2.826670,2.600243,0.503918,2.248435,0.939489,0.105724,2.082448,0.750853,2.265628,4.367542,1.190774,3.009241,0.245591,1.504152,2.398941,0.271629,1.219274,1.678664,0.496728,0.065460,0.281576,1.536472,0.187861,1.615041,0.937529,1.699663,0.750515,3.696541,0.907385,3.317054,0.408772,1.152387,1.498605,2.847723,1.685665,0.678186,1.406068,2.897971,1.187413,1.299764,0.257405,4.286848,0.455700,2.389886,1.352276,0.604579,0.588993,0.827957,2.521963,1.749045,0.883820,0.915446,2.032492,2.301005,0.773894,1.681524,1.967311,4.164025,1.766056,0.668294,1.600152,1.803167,0.010263,0.926644,0.636704
101010,2.208917,0.175096,0.466090,1.790422,0.549158,1.073853,1.460456,0.532191,3.438821,2.685225,1.606422,1.463115,2.117023,1.239950,3.037323,2.121301,2.084187,1.352367,1.690679,3.174354,0.659340,2.041907,2.135006,3.292644,0.128917,0.030963,3.655782,0.573967,0.369310,0.251594,1.032021,1.392632,0.302529,1.119438,0.155465,2.507466,0.528455,2.434962,0.179763,1.379747,1.849040,2.289349,0.301182,1.411669,0.135939,2.345136,1.152840,0.417049,2.702122,2.541930,0.190473,0.823032,1.559817,5.095895,0.268506,2.637706,0.021797,1.848622,1.759091,1.917211,0.684547,1.860247,3.316456,3.026751,1.335404,0.854619,0.576752,2.239340,3.276144,0.934960,3.801724,1.230586,1.569325,2.341473,1.363447,1.429686,0.053880,1.477609,1.017923,0.843270,0.757925,1.548231,1.616877,1.877209,1.007104,3.004758,1.253244,2.609908,0.582554,1.104856,0.624525,0.242650,2.485291,0.527187,1.476299,2.186176,0.566181,1.143914,0.914012,1.247935
101013,2.063558,0.275885,0.025109,0.270573,1.610774,1.574283,2.109203,1.616352,3.490566,3.672162,2.054329,1.445363,2.070808,0.242910,3.098329,2.458012,2.541910,0.551478,0.899669,2.819991,1.008369,1.789230,2.371309,4.137286,1.489741,0.480079,3.855075,0.993015,0.691007,0.258051,1.448545,0.742978,0.422517,0.290731,0.689394,1.564504,0.706828,2.336453,0.108325,1.005069,1.469253,2.860020,0.718006,1.401091,0.808436,2.140885,1.020852,0.409200,2.571765,3.178259,0.133206,1.304232,1.222472,4.369857,0.386867,2.287272,0.059137,1.606227,0.720807,1.198217,1.570070,0.565319,2.807099,2.912686,1.125987,1.048812,0.478970,2.810228,3.046450,1.104981,4.643811,0.823035,2.140641,1.710292,1.660601,2.353761,0.872700,1.121978,0.379152,0.412067,0.374659,1.776166,1.332611,2.514614,1.255483,2.035832,0.276133,3.347692,0.751746,0.908367,0.198147,0.144789,1.897490,0.294849,2.260956,2.565902,0.705275,0.917353,1.039451,1.292006
