USER ID,PRODUCT,RATING
100953,spray karma,3
100953,nurse october,5
100953,balance hostel,3
100953,volume pasta,3
100953,diana chariot,6
100953,mineral barcode,7
100953,cinema complex,6
100953,siren junior,7
100953,harbor moral,7
100953,cipher empty,7
100953,kermit desert,4
100953,diploma vocal,3
100953,diesel jason,6
100953,rider shine,6
100953,bundle forget,7
100953,bronze sweden,2
100953,scale phone,7
100953,telecom pluto,6
100953,season arthur,7
100953,boston house,8
100953,explain heaven,9
100953,frozen command,2
100953,lesson switch,5
100953,invent topic,5
100953,fractal heart,7
100953,alice ticket,4
100953,pegasus respond,5
100953,similar malta,6
100953,sabine emotion,5
100953,pardon thomas,4
100953,loyal jungle,4
100953,master nobody,8
100953,good info,3
100953,office triton,2
100953,lexicon ingrid,8
100953,vodka bahama,4
100953,zero nikita,5
100953,glass alpine,4
100953,july miami,8
100953,degree forever,5
100953,aztec iris,4
100953,asia jacket,3
100953,alien potato,6
100953,torso cricket,2
100953,tower fantasy,7
100953,mercy chaos,6
100953,medusa cuba,5
100953,theory france,3
100953,alaska basil,2
100953,comedy clean,6
100953,reverse royal,5
100953,henry distant,1
100953,moment seminar,4
100953,solid express,7
100955,sushi import,5
100955,stella micro,5
100955,mineral barcode,5
100955,fresh shave,7
100955,siren junior,6
100955,north speed,4
100955,sheriff java,5
100955,cipher empty,6
100955,hand inca,5
100955,bundle forget,5
100955,turtle pierre,5
100955,textile strange,6
100955,epoxy insect,6
100955,scale phone,5
100955,cockpit circle,6
100955,explain heaven,6
100955,frozen command,2
100955,cairo monarch,4
100955,daniel global,6
100955,fractal heart,7
100955,pegasus respond,5
100955,similar malta,5
100955,sabine emotion,5
100955,trivial neon,7
100955,tuna relax,7
100955,senator ozone,4
100955,good info,5
100955,logic channel,7
100955,lexicon ingrid,5
100955,salon pulse,7
100955,zero nikita,4
100955,glass alpine,3
100955,july miami,8
100955,degree forever,5
100955,alien potato,5
100955,judge sunday,4
100955,torso cricket,4
100955,alaska basil,6
100955,comedy clean,5
100955,serial organic,7
100955,reverse royal,3
100955,plume cowboy,6
100955,henry distant,5
100955,ventura next,6
100955,alcohol future,4
100955,gelatin prime,5
100955,betty today,6
100965,helena poncho,4
100965,sushi import,3
100965,balance hostel,6
100965,volume pasta,3
100965,gossip cotton,6
100965,diana chariot,3
100965,mineral barcode,8
100965,cinema complex,4
100965,siren junior,5
100965,north speed,4
100965,sheriff java,6
100965,flame street,7
100965,diesel jason,6
100965,rider shine,5
100965,bundle forget,6
100965,epoxy insect,4
100965,bronze sweden,2
100965,cockpit circle,4
100965,season arthur,4
100965,explain heaven,8
100965,silk gizmo,4
100965,lesson switch,8
100965,saint texas,3
100965,invent topic,8
100965,fractal heart,3
100965,alice ticket,1
100965,choice copy,6
100965,similar malta,3
100965,sabine emotion,5
100965,loyal jungle,4
100965,master nobody,5
100965,trivial neon,4
100965,tuna relax,4
100965,senator ozone,4
100965,logic channel,5
100965,office triton,8
100965,lexicon ingrid,1
100965,motel marvin,4
100965,salon pulse,6
100965,zero nikita,4
100965,glass alpine,4
100965,degree forever,5
100965,alien potato,5
100965,shannon resume,3
100965,tower fantasy,6
100965,medusa cuba,5
100965,theory france,4
100965,alaska basil,4
100965,silver plate,5
100965,percent edison,5
100965,leonid antenna,6
100965,henry distant,7
100965,moment seminar,6
100968,nurse october,9
100968,helena poncho,9
100968,sushi import,3
100968,stella micro,6
100968,balance hostel,7
100968,volume pasta,10
100968,gossip cotton,8
100968,diana chariot,1
100968,cinema complex,5
100968,siren junior,4
100968,harbor moral,9
100968,flame street,6
100968,vampire teacher,10
100968,kermit desert,6
100968,hand inca,3
100968,bundle forget,3
100968,textile strange,9
100968,epoxy insect,7
100968,scale phone,2
100968,cockpit circle,6
100968,season arthur,2
100968,frozen command,3
100968,saint texas,7
100968,daniel global,9
100968,fractal heart,8
100968,alice ticket,1
100968,sabine emotion,5
100968,loyal jungle,6
100968,trivial neon,8
100968,tuna relax,9
100968,senator ozone,2
100968,motel marvin,2
100968,zero nikita,2
100968,july miami,8
100968,aztec iris,5
100968,alien potato,3
100968,parody athena,1
100968,shannon resume,5
100968,judge sunday,2
100968,ninja saga,4
100968,theory france,7
100968,alaska basil,10
100968,percent edison,8
100968,comedy clean,4
100968,serial organic,9
100968,plume cowboy,5
100968,ventura next,10
100968,betty today,6
100976,spray karma,2
100976,nurse october,4
100976,sushi import,4
100976,stella micro,7
100976,volume pasta,9
100976,siren junior,5
100976,sheriff java,0
100976,harbor moral,2
100976,vampire teacher,0
100976,bundle forget,0
100976,turtle pierre,0
100976,textile strange,8
100976,telecom pluto,1
100976,boston house,5
100976,cairo monarch,9
100976,daniel global,0
100976,fractal heart,0
100976,choice copy,4
100976,master nobody,6
100976,senator ozone,9
100976,good info,1
100976,zero nikita,3
100976,degree forever,5
100976,aztec iris,6
100976,segment meter,3
100976,alien potato,7
100976,judge sunday,10
100976,tower fantasy,9
100976,stop door,10
100976,silver plate,5
100976,leonid antenna,9
100976,tunnel nerve,0
100976,reverse royal,10
100976,plume cowboy,3
100976,henry distant,4
100976,moment seminar,0
100976,solid express,9
100986,spray karma,2
100986,nurse october,9
100986,balance hostel,5
100986,volume pasta,8
100986,gossip cotton,4
100986,diana chariot,4
100986,mineral barcode,7
100986,fresh shave,9
100986,sheriff java,2
100986,harbor moral,9
100986,flame street,7
100986,vampire teacher,2
100986,kermit desert,4
100986,diesel jason,9
100986,rider shine,4
100986,tarzan juliet,4
100986,turtle pierre,7
100986,provide flex,5
100986,bronze sweden,1
100986,scale phone,7
100986,telecom pluto,9
100986,cockpit circle,9
100986,frozen command,1
100986,daniel global,6
100986,fractal heart,9
100986,alice ticket,0
100986,choice copy,8
100986,similar malta,7
100986,pardon thomas,8
100986,loyal jungle,2
100986,master nobody,8
100986,tuna relax,9
100986,senator ozone,3
100986,salon pulse,6
100986,july miami,10
